cellMarker,shortname
ADCY3,Neuron
ANO2,Neuron
CNGA2,Neuron
CNGA4,Neuron
CNGB1,Neuron
GNAL,Neuron
NCAM1,Neuron
NEUROG1,Neuron
OMP,Neuron
6330403K07RIK,Neuron
AGAP2,Neuron
AHI1,Neuron
ARF3,Neuron
ATP1A3,Neuron
ATP1B1,Neuron
BEX2,Neuron
CAMK2A,Neuron
CAMK2B,Neuron
CAMK2N1,Neuron
CELF4,Neuron
CHD3,Neuron
CNIH2,Neuron
CPLX2,Neuron
CTXN1,Neuron
DYNLL2,Neuron
FBXL16,Neuron
GAP43,Neuron
GNG13,Neuron
HAP1,Neuron
HPCAL4,Neuron
KIF5A,Neuron
KIF5C,Neuron
LY6H,Neuron
MAP1A,Neuron
MAP1B,Neuron
MAP2,Neuron
MYT1L,Neuron
NCDN,Neuron
NEFL,Neuron
NRGN,Neuron
NRSN1,Neuron
PCP4,Neuron
PCSK1N,Neuron
RAB3C,Neuron
RASGEF1A,Neuron
RPH3A,Neuron
RTN1,Neuron
S100B,Neuron
SCG2,Neuron
SEZ6,Neuron
SNAP25,Neuron
SNRPN,Neuron
STMN2,Neuron
STMN3,Neuron
SYT1,Neuron
TTC3,Neuron
UNC13C,Neuron
ACSL3,Astrocyte
ACSL6,Astrocyte
AGT,Astrocyte
AQP4,Astrocyte
ATP13A4,Astrocyte
ATP1B2,Astrocyte
BCAN,Astrocyte
CLDN10,Astrocyte
DCLK1,Astrocyte
DDHD1,Astrocyte
EDNRB,Astrocyte
ENTPD2,Astrocyte
EVA1A,Astrocyte
FGFR3,Astrocyte
FJX1,Astrocyte
FUT9,Astrocyte
FZD2,Astrocyte
GJA1,Astrocyte
GJB6,Astrocyte
GM3764,Astrocyte
GM9925,Astrocyte
GPLD1,Astrocyte
GPR37L1,Astrocyte
GRIA2,Astrocyte
HTRA1,Astrocyte
ID4,Astrocyte
LFNG,Astrocyte
MFGE8,Astrocyte
NKAIN4,Astrocyte
